game_id,home_team,away_team,home_points,away_points,home_coach,away_coach,home_record,away_record,week,weekday,season,date,start_time,stadium,attendance,time_of_game,Won Toss,Roof,Surface,Duration,Weather,Vegas Line,Over/Under,Won OT Toss,Referee,Umpire,Head Linesman,Line Judge,Back Judge,Side Judge,Field Judge,Down Judge,Offensive Pass Interference,False Start,Defensive Offside,Low Block,Unnecessary Roughness,Delay of Game,Offensive Holding,Illegal Touch Pass,Defensive Pass Interference,Chop Block,Face Mask (15 Yards),Unsportsmanlike Conduct,Encroachment,Illegal Contact,Illegal Formation,Roughing the Passer,Ineligible Downfield Kick,Illegal Substitution,Personal Foul,Defensive 12 On-field,Defensive Holding,Illegal Block Above the Waist,Defensive Delay of Game,Offensive 12 On-field,Intentional Grounding,Offside on Free Kick,Illegal Shift,Horse Collar Tackle,Ineligible Downfield Pass,Neutral Zone Infraction,Illegal Touch Kick,Illegal Motion,Illegal Receiver Pass,Illegal Use of Hands,Running Into the Kicker,Illegal Blindside Block,Tripping,Illegal Forward Pass,Player Out of Bounds on Punt,Interference with Opportunity to Catch,Disqualification,Roughing the Kicker,Offensive Offside,Illegal Crackback,Illegal Kick,Taunting,Kickoff Out of Bounds,Clipping,Fair Catch Interference,Invalid Fair Catch Signal,Short Free Kick,Illegal Wedge,Illegal Forward Handoff,Face Mask (5 Yards),Leverage,Illegal Bat,Leaping,Illegal Procedure,Illegal Onside Kick,Illegally Kicking Ball,Illegal Cut,Illegal Peelback,Delay of Kickoff,Lowering the Head to Initiate Contact,Kick Catch Interference,Offensive Too Many Men on Field,Defensive Too Many Men on Field,Player Out of Bounds on Kick,Illegal Double-Team Block,Face Mask,Illegal Kick/Kicking Loose Ball,Lowering the Head to Make Forcible Contact
2009_1_TEN_PIT,PIT,TEN,13,10,Mike Tomlin,Jeff Fisher,1-0,0-1,1,Thursday,2009,2009-09-10,20:41:00,Heinz Field,"65,110",3:07,Titans (deferred),outdoors,dessograss,3:07,"67 degrees, relative humidity 54%, wind 9 mph",Pittsburgh Steelers -6.5,35.0 (under),Steelers,Bill Leavy,Darrell Jenkins,Mark Baltz,Mark Perlman,Keith Ferguson,Greg Bradley,Clete Blakeman,,0,1,0,0,1,1,3,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_KC_BAL,BAL,KC,38,24,John Harbaugh,Todd Haley,1-0,0-1,1,Sunday,2009,2009-09-13,13:02:00,M&T Bank Stadium,"71,099",3:18,Ravens (deferred),outdoors,sportturf,3:18,"76 degrees, relative humidity 68%, wind 5 mph, wind chill 0",Baltimore Ravens -13.0,36.5 (over),,Gene Steratore,Tony Michalek,Jerry Bergman,Jeff Seeman,Bob Waggoner,Mike Weatherford,Greg Gautreaux,,0,1,0,0,0,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_DEN_CIN,CIN,DEN,7,12,Marvin Lewis,Josh McDaniels,0-1,1-0,1,Sunday,2009,2009-09-13,13:02:00,Paul Brown Stadium,"62,831",3:02,Bengals (deferred),outdoors,fieldturf,3:02,"73 degrees, relative humidity 47%, wind 7 mph, wind chill 0",Cincinnati Bengals -5.0,41.0 (under),,Jerome Boger,Carl Paganelli,John Schleyer,Gary Arthur,Tony Steratore,Joe Larrew,Doug Rosenbaum,,1,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_JAX_IND,IND,JAX,14,12,Jim Caldwell,Jack Del Rio,1-0,0-1,1,Sunday,2009,2009-09-13,13:02:00,Lucas Oil Stadium,"65,757",2:44,Colts,retractable roof (open),fieldturf,2:44,,Indianapolis Colts -6.0,45.0 (under),,Tony Corrente,Fred Bryan,John McGrath,John Hussey,Gregory Wilson,Allen Baynes,Gary Cavaletto,,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_MIN_CLE,CLE,MIN,20,34,Eric Mangini,Brad Childress,0-1,1-0,1,Sunday,2009,2009-09-13,13:03:00,Cleveland Browns Stadium,"70,560",3:00,Browns,outdoors,grass,3:00,"70 degrees, relative humidity 0%, wind 6 mph, wind chill 0",Minnesota Vikings -4.5,40.0 (over),,John Parry,Dan Ferrell,Wayne Mackie,Ron Marinucci,Perry Paganelli,Keith Washington,Scott Edwards,,0,4,0,0,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_NYJ_HOU,HOU,NYJ,7,24,Gary Kubiak,Rex Ryan,0-1,1-0,1,Sunday,2009,2009-09-13,13:03:00,Reliant Stadium,"70,118",2:53,Jets (deferred),retractable roof (closed),grass,2:53,,Houston Texans -4.5,45.0 (under),,Ed Hochuli,Chad Brown,Mark Hittner,Tim Podraza,Kirk Dornan,Barry Anderson,Craig Wrolstad,,0,4,0,1,2,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_DET_NO,NO,DET,45,27,Sean Payton,Jim Schwartz,1-0,0-1,1,Sunday,2009,2009-09-13,13:03:00,Louisiana Superdome,"69,719",3:31,Saints,dome,fieldturf,3:31,,New Orleans Saints -14.0,50.0 (over),,Mike Carey,Steve Wilson,George Hayward,Tom Barnes,Todd Prukop,Don Carlsen,Buddy Horton,,0,4,2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_DAL_TB,TB,DAL,21,34,Raheem Morris,Wade Phillips,0-1,1-0,1,Sunday,2009,2009-09-13,13:03:00,Raymond James Stadium,"63,806",3:11,Cowboys,outdoors,grass,3:11,"85 degrees, relative humidity 82%, wind 6 mph",Dallas Cowboys -5.0,40.0 (over),,Alberto Riveron,Ruben Fowler,Ed Camp,Ron Phares,Lee Dyer,Jimmy DeBell,Steve Zimmer,,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_PHI_CAR,CAR,PHI,10,38,John Fox,Andy Reid,0-1,1-0,1,Sunday,2009,2009-09-13,13:04:00,Bank of America Stadium,"73,599",3:14,Panthers,outdoors,grass,3:14,"82 degrees, relative humidity 61%, wind 5 mph, wind chill 0",Philadelphia Eagles -2.5,43.5 (over),,Jeff Triplette,Bruce Stritesky,Steve Stelljes,Michael Spanier,Steve Freeman,Dave Wyant,Boris Cheek,,0,7,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_1_MIA_ATL,ATL,MIA,19,7,Mike Smith,Tony Sparano,1-0,0-1,1,Sunday,2009,2009-09-13,13:05:00,Georgia Dome,"67,606",2:50,Falcons,dome,fieldturf,2:50,,Atlanta Falcons -4.0,44.5 (under),,Walt Coleman,Jeff Rice,Julian Mapp,Jeff Bergman,Billy Smith,Rick Patterson,Scott Steenson,,1,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
