team_id,city,name,division,airport,latitude,longitude,time_zone,old_ids,old_cities,old_names,color,color2,color3,color4,team_logo
ARI,Arizona,Cardinals,NFC West,PHX,33.434,-112.008,-2.0,[],[],[],#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png
ATL,Atlanta,Falcons,NFC South,ATL,33.64,-84.427,0.0,[],[],[],#a71930,#000000,#a5acaf,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png
BAL,Baltimore,Ravens,AFC North,BWI,39.175,-76.668,0.0,[],[],[],#241773,#000000,#9e7c0c,#c60c30,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png
BUF,Buffalo,Bills,AFC East,BUF,42.94,-78.732,0.0,[],[],[],#00338d,#c60c30,#0c2e82,#d50a0a,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png
CAR,Carolina,Panthers,NFC South,CLT,35.214,-80.943,0.0,[],[],[],#0085ca,#000000,#bfc0bf,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png
CHI,Chicago,Bears,NFC North,ORD,41.979,-87.904,-1.0,[],[],[],#0b162a,#c83803,#0b162a,#c83803,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png
CIN,Cincinnati,Bengals,AFC North,CVG,39.046,-84.662,0.0,[],[],[],#000000,#fb4f14,#000000,#d32f1e,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png
CLE,Cleveland,Browns,AFC North,CLE,41.412,-81.85,0.0,[],[],[],#fb4f14,#22150c,#a5acaf,#d32f1e,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png
DAL,Dallas,Cowboys,NFC East,DFW,32.896,-97.037,-1.0,[],[],[],#002244,#b0b7bc,#acc0c6,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png
DEN,Denver,Broncos,AFC West,DEN,39.858,-104.667,-2.0,[],[],[],#002244,#fb4f14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png
